,user_id,group,decision_rank,decision,left_age,right_age,left_dependents,right_dependents,left_drinking,right_drinking
194,13,cf,13,1,1,1,1,2,0,0
195,14,cf,10,1,1,1,1,2,2,2
196,12,cf,9,2,1,1,1,2,1,2
197,14,cf,9,2,1,1,1,2,1,2
198,17,cf,5,1,2,1,0,0,2,2
199,12,cf,10,2,1,1,1,2,2,2
200,8,nocf,13,1,1,1,1,2,0,0
201,11,nocf,15,0,1,0,2,0,0,0
202,17,cf,6,1,1,1,0,0,2,0
203,8,nocf,14,0,1,1,2,2,1,2
204,18,cf,2,0,0,2,0,0,0,0
205,12,cf,11,1,2,0,2,0,2,0
206,13,cf,15,2,1,0,2,0,0,0
207,8,nocf,15,0,1,0,2,0,0,0
208,15,cf,4,1,4,1,0,0,0,2
209,19,nocf,2,0,0,2,0,0,0,0
210,17,cf,8,1,1,1,0,0,2,0
211,15,cf,5,2,2,1,0,0,2,2
212,17,cf,9,1,1,1,1,2,1,2
213,7,nocf,14,0,1,1,2,2,1,2
214,7,nocf,15,0,1,0,2,0,0,0
215,5,cf,6,1,1,1,0,0,2,0
216,15,cf,3,0,1,1,0,0,0,1
217,5,cf,2,0,0,2,0,0,0,0
218,13,cf,14,0,1,1,2,2,1,2
219,7,nocf,12,0,1,2,2,0,0,0
220,17,cf,7,1,2,2,0,2,2,2
221,14,cf,11,1,2,0,2,0,2,0
222,18,cf,3,2,1,1,0,0,0,1
223,19,nocf,1,0,0,1,0,0,0,0
224,14,cf,12,0,1,2,2,0,0,0
225,5,cf,3,0,1,1,0,0,0,1
226,7,nocf,13,1,1,1,1,2,0,0
227,12,cf,12,0,1,2,2,0,0,0
228,14,cf,13,1,1,1,1,2,0,0
229,5,cf,4,1,4,1,0,0,0,2
230,14,cf,14,0,1,1,2,2,1,2
231,5,cf,5,2,2,1,0,0,2,2
232,16,cf,2,0,0,2,0,0,0,0
233,12,cf,13,2,1,1,1,2,0,0
234,18,cf,4,1,4,1,0,0,0,2
235,17,cf,10,1,1,1,1,2,2,2
236,12,cf,14,2,1,1,2,2,1,2
237,5,cf,7,2,2,2,0,2,2,2
238,18,cf,5,2,2,1,0,0,2,2
239,14,cf,15,2,1,0,2,0,0,0
240,15,cf,6,1,1,1,0,0,2,0
241,16,cf,3,0,1,1,0,0,0,1
242,5,cf,8,2,1,1,0,0,2,0
243,20,cf,1,2,0,1,0,0,0,0
244,16,cf,4,1,4,1,0,0,0,2
245,17,cf,11,1,2,0,2,0,2,0
246,21,nocf,1,0,0,1,0,0,0,0
247,15,cf,7,1,2,2,0,2,2,2
248,12,cf,15,2,1,0,2,0,0,0
249,18,cf,6,1,1,1,0,0,2,0
250,5,cf,9,0,1,1,1,2,1,2
251,19,nocf,3,0,1,1,0,0,0,1
252,21,nocf,2,0,0,2,0,0,0,0
253,17,cf,12,0,1,2,2,0,0,0
254,16,cf,5,1,2,1,0,0,2,2
255,5,cf,10,2,1,1,1,2,2,2
256,21,nocf,3,0,1,1,0,0,0,1
257,18,cf,7,2,2,2,0,2,2,2
258,20,cf,2,2,0,2,0,0,0,0
259,19,nocf,4,1,4,1,0,0,0,2
260,17,cf,13,1,1,1,1,2,0,0
261,16,cf,6,1,1,1,0,0,2,0
262,21,nocf,4,0,4,1,0,0,0,2
263,5,cf,11,1,2,0,2,0,2,0
264,15,cf,8,2,1,1,0,0,2,0
265,21,nocf,5,1,2,1,0,0,2,2
266,20,cf,3,0,1,1,0,0,0,1
267,21,nocf,6,1,1,1,0,0,2,0
268,19,nocf,7,1,2,2,0,2,2,2
269,19,nocf,8,1,1,1,0,0,2,0
270,18,cf,9,2,1,1,1,2,1,2
271,19,nocf,9,0,1,1,1,2,1,2
272,21,nocf,9,0,1,1,1,2,1,2
273,5,cf,14,0,1,1,2,2,1,2
274,5,cf,15,1,1,0,2,0,0,0
275,16,cf,10,1,1,1,1,2,2,2
276,19,nocf,11,1,2,0,2,0,2,0
277,19,nocf,12,0,1,2,2,0,0,0
278,16,cf,11,1,2,0,2,0,2,0
279,19,nocf,13,1,1,1,1,2,0,0
280,16,cf,12,0,1,2,2,0,0,0
281,21,nocf,13,1,1,1,1,2,0,0
282,16,cf,13,1,1,1,1,2,0,0
283,19,nocf,15,1,1,0,2,0,0,0
284,21,nocf,14,0,1,1,2,2,1,2
285,20,cf,7,1,2,2,0,2,2,2
286,18,cf,12,0,1,2,2,0,0,0
287,22,cf,1,2,0,1,0,0,0,0
288,18,cf,13,2,1,1,1,2,0,0
289,16,cf,15,2,1,0,2,0,0,0
290,15,cf,13,1,1,1,1,2,0,0
291,23,cf,1,1,0,1,0,0,0,0
292,22,cf,2,0,0,2,0,0,0,0
293,24,cf,1,2,0,1,0,0,0,0
294,20,cf,9,0,1,1,1,2,1,2
295,22,cf,4,0,4,1,0,0,0,2
296,25,cf,1,0,0,1,0,0,0,0
297,22,cf,5,1,2,1,0,0,2,2
298,26,cf,2,0,0,2,0,0,0,0
299,22,cf,7,2,2,2,0,2,2,2
300,26,cf,3,1,1,1,0,0,0,1
301,24,cf,4,1,4,1,0,0,0,2
302,24,cf,6,2,1,1,0,0,2,0
303,26,cf,4,1,4,1,0,0,0,2
304,23,cf,6,1,1,1,0,0,2,0
305,24,cf,8,2,1,1,0,0,2,0
306,27,nocf,2,0,0,2,0,0,0,0
307,28,cf,3,0,1,1,0,0,0,1
308,25,cf,5,2,2,1,0,0,2,2
