,user_id,decision,decision_rank,left_1,left_2,left_3,right_1,right_2,right_3,delay
70,1,0,40,39,1,2,69,2,1,8444
71,1,0,36,39,2,1,68,2,0,5784
72,1,1,0,60,4,2,29,3,1,21453
73,1,0,15,68,1,0,43,5,2,13492
74,1,1,18,69,3,1,31,5,1,90568
75,1,0,34,29,1,2,60,4,1,6636
76,1,1,14,63,3,0,34,5,0,10047
77,1,1,37,67,3,2,54,4,1,16060
78,1,1,20,54,5,1,30,4,2,5637
79,1,1,38,60,2,2,43,2,1,9747
80,2,0,9,43,5,0,65,4,0,3865
81,2,1,30,43,1,1,40,2,2,3101
82,2,1,18,46,3,1,40,1,2,3693
83,2,0,5,27,3,1,32,3,0,5228
84,2,0,41,42,4,1,41,4,0,2009
85,2,0,36,42,4,1,42,4,0,2309
86,2,0,43,69,5,2,38,1,0,2158
87,2,1,11,49,3,1,38,1,2,3045
88,2,0,2,26,1,2,44,4,2,6095
89,2,2,34,27,5,1,44,4,1,2816
90,2,1,0,57,2,1,38,3,2,18545
91,2,0,40,63,4,1,53,4,0,3301
92,2,1,19,41,1,0,55,4,2,2518
93,2,1,42,44,3,1,34,4,2,2152
94,2,2,25,56,2,2,52,1,1,2734
95,2,1,33,38,5,0,60,4,1,2396
96,2,2,22,66,1,2,60,3,2,4883
97,2,1,1,66,1,1,50,4,2,7674
98,2,2,13,35,1,0,45,2,0,3676
99,2,2,31,66,5,0,32,4,0,2118
100,2,0,15,68,1,2,66,2,0,3619
101,2,0,35,54,1,2,60,3,0,3103
102,2,1,7,51,4,1,46,1,2,10046
103,2,1,8,46,3,1,45,4,2,7318
104,2,0,37,26,3,2,61,4,1,2326
105,2,0,28,31,1,1,37,5,1,4478
106,2,1,17,67,3,0,67,1,2,3002
107,2,0,29,54,3,2,30,2,1,3476
108,2,2,3,54,1,2,57,3,2,5475
109,2,1,24,58,1,0,57,1,1,2811
110,2,0,12,37,5,2,62,5,0,3518
111,2,1,10,35,5,0,53,1,2,3403
112,2,1,16,46,3,0,39,1,2,2908
113,2,0,38,58,3,2,63,1,0,2167
114,2,2,27,69,4,0,65,5,0,3874
115,2,0,32,65,1,1,64,2,0,2706
116,2,1,20,43,3,1,68,5,2,2767
117,2,2,26,64,5,1,59,1,1,5228
118,2,0,39,58,2,2,62,5,0,2568
119,2,1,4,49,4,1,30,1,1,5134
120,2,0,14,47,2,2,57,2,0,3026
121,3,1,28,59,5,0,35,5,2,2915
122,3,0,43,52,4,2,60,3,1,5618
123,3,1,34,55,4,1,52,3,2,3799
124,3,1,29,52,5,0,34,5,0,2876
125,3,1,27,68,5,0,51,5,0,2639
126,3,1,2,70,2,1,67,1,1,6316
127,3,1,16,68,2,2,58,3,1,9347
128,3,2,37,28,4,0,48,3,2,8044
129,3,0,36,34,4,1,52,3,0,4232
130,3,0,9,62,2,1,66,3,0,3243
131,3,1,15,70,1,2,28,5,1,3923
132,3,0,40,68,1,2,70,3,1,3233
133,3,1,1,67,1,2,37,4,2,9075
134,3,1,42,68,1,2,31,4,2,5529
135,3,1,23,62,5,0,49,2,2,3065
136,3,1,24,70,3,2,40,5,2,2763
137,3,1,5,48,2,2,36,3,2,7489
138,3,1,7,66,3,2,41,3,2,2947
139,3,0,3,30,3,1,53,5,0,5320
140,3,1,4,45,4,2,33,3,2,4996
141,3,1,41,52,3,0,36,3,0,4441
142,3,1,21,48,1,1,31,1,2,3878
143,3,1,14,43,1,0,26,4,1,6311
144,3,0,33,27,3,2,49,2,1,5100
145,3,1,32,49,4,0,62,2,1,9551
146,3,0,20,36,2,1,31,2,0,3868
147,3,0,13,47,3,1,69,2,2,7671
148,3,1,6,70,1,1,48,2,1,3878
149,3,1,11,58,5,2,33,2,2,4096
150,3,0,38,29,4,1,62,3,1,5219
151,3,1,18,62,2,0,57,5,2,5888
152,3,1,25,60,3,1,46,2,2,2863
153,3,1,0,67,5,1,27,5,2,13598
154,3,1,17,48,3,2,26,3,1,3923
155,3,1,39,53,5,1,39,5,1,2465
156,3,0,19,38,2,2,34,1,0,3987
157,3,1,22,56,3,0,32,2,2,3216
158,3,0,10,43,2,1,42,5,1,4276
159,3,0,30,54,1,1,44,5,0,4476
160,3,1,26,38,5,0,30,3,2,3336
161,4,2,19,55,1,1,52,3,1,13707
162,4,0,43,52,2,1,36,3,0,3635
163,4,2,11,50,3,1,47,1,1,9511
164,4,0,9,67,5,1,40,4,0,18020
165,4,1,3,61,5,1,50,2,2,10989
166,4,0,4,26,2,1,54,5,0,8610
167,4,0,25,57,1,2,41,2,1,4448
168,4,0,21,45,2,1,37,1,0,3563
169,4,1,32,55,3,0,52,4,2,3746
170,4,0,14,54,2,2,29,2,0,13144
171,4,1,17,40,1,1,40,2,2,25972
172,4,0,37,55,3,1,59,4,0,3331
173,4,0,30,64,2,1,69,3,0,2892
